pupil_id,year_group,gender,house,pupil_premium,send_register,attendance_pct,maths_grade_y1,english_grade_y1,science_grade_y1,maths_grade_y2,english_grade_y2,science_grade_y2,effort_maths,effort_english,effort_science,predicted_grade,rewards,sanctions,cpoms_count,behaviour_flag
P0100,7,Female,Churchill,1,0,,5,6,7,5.0,8.0,7.0,3.0,3.0,2.0,6.0,7.0,1,4.0,0
P0101,7,Male,Brunel,0,0,100.0,6,7,7,6.0,8.0,8.0,1.0,5.0,3.0,7.0,11.0,6,1.0,0
P0102,10,Male,Darwin,0,0,90.0,2,4,8,3.0,5.0,8.0,4.0,4.0,4.0,7.0,10.0,2,0.0,0
P0103,8,Male,Atkinson,0,0,86.6,3,6,7,,6.0,8.0,2.0,3.0,3.0,6.0,8.0,5,3.0,0
P0104,9,Female,Darwin,1,0,97.44030684659036,7,4,3,8.0,3.0,4.0,3.0,3.0,5.0,5.0,11.0,7,1.0,0
P0105,11,Male,Atkinson,0,0,100.0,6,7,8,6.0,7.0,8.0,5.0,3.0,3.0,7.0,7.0,5,3.0,0
P0106,8,Male,Atkinson,0,1,93.0,5,3,3,4.0,4.0,4.0,2.0,4.0,4.0,4.0,11.0,5,0.0,0
P0107,9,Female,Darwin,1,0,99.04994794720432,6,4,6,5.0,6.0,6.0,1.0,2.0,2.0,6.0,4.0,3,2.0,0
P0108,10,Male,Darwin,1,0,95.58795406778106,6,6,4,6.0,7.0,5.0,3.0,4.0,3.0,6.0,6.0,4,2.0,0
P0109,8,Female,Darwin,1,0,85.64160560825131,5,8,5,4.0,8.0,6.0,4.0,4.0,,7.0,8.0,1,1.0,0
P0110,7,Female,Darwin,0,0,90.1,4,5,6,5.0,4.0,8.0,5.0,4.0,4.0,5.0,,2,3.0,0
P0111,8,Male,Churchill,0,0,100.0,6,4,6,7.0,4.0,6.0,2.0,4.0,3.0,6.0,6.0,4,3.0,0
P0112,7,Female,Brunel,0,0,,4,8,6,5.0,7.0,6.0,4.0,3.0,3.0,6.0,6.0,1,1.0,0
P0113,11,Male,Atkinson,1,0,94.74171077911492,6,3,8,6.0,,8.0,3.0,4.0,1.0,6.0,8.0,4,1.0,0
P0114,11,Female,Darwin,1,0,84.08471437269836,2,2,6,3.0,2.0,6.0,3.0,4.0,3.0,3.0,10.0,6,3.0,0
P0115,10,Female,Darwin,0,0,100.0,7,6,5,7.0,6.0,6.0,5.0,3.0,4.0,6.0,9.0,3,1.0,0
P0116,11,Male,Darwin,0,1,89.8,6,4,7,6.0,3.0,6.0,2.0,3.0,4.0,5.0,13.0,1,0.0,0
P0117,11,Female,Churchill,0,0,91.0,6,4,8,6.0,5.0,7.0,3.0,3.0,4.0,6.0,,2,1.0,0
P0118,7,Female,Darwin,1,1,92.60445670946196,7,7,3,7.0,7.0,2.0,4.0,5.0,3.0,,11.0,4,3.0,0
P0119,11,Female,Darwin,1,0,99.44928858540516,8,6,6,8.0,5.0,7.0,4.0,,3.0,6.0,10.0,3,4.0,0
P0120,9,Female,Darwin,0,0,98.1,7,4,7,7.0,2.0,9.0,,2.0,2.0,,11.0,1,2.0,0
P0121,11,Female,Brunel,0,1,95.5,2,3,5,2.0,3.0,5.0,4.0,3.0,,3.0,13.0,8,0.0,0
P0122,11,Male,Churchill,0,0,95.8,3,7,8,3.0,9.0,8.0,3.0,3.0,,6.0,6.0,2,2.0,0
P0123,8,Female,Darwin,1,0,93.19009092595188,4,6,5,5.0,8.0,5.0,,3.0,3.0,6.0,12.0,5,1.0,0
P0124,7,Male,Atkinson,1,0,92.28651297331989,6,5,6,7.0,5.0,7.0,3.0,3.0,2.0,6.0,,6,3.0,0
P0125,8,Female,Atkinson,1,0,73.85982425212488,6,8,5,7.0,8.0,5.0,4.0,3.0,1.0,8.0,9.0,1,2.0,1
P0126,9,Male,Atkinson,0,0,91.2,4,3,5,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,0,2.0,0
P0127,11,Male,Churchill,0,0,94.4,6,3,3,4.0,2.0,4.0,4.0,1.0,3.0,3.0,8.0,2,2.0,0
P0128,11,Female,Churchill,0,0,86.1,4,4,3,5.0,4.0,4.0,3.0,2.0,2.0,4.0,10.0,3,0.0,0
P0129,7,Female,Atkinson,0,0,,4,5,8,3.0,6.0,8.0,4.0,3.0,4.0,,9.0,5,3.0,0
P0130,9,Female,Darwin,1,0,90.31392943077452,3,6,4,3.0,7.0,5.0,3.0,1.0,3.0,6.0,2.0,0,2.0,0
P0131,9,Male,Churchill,1,0,99.32186691996344,4,5,4,3.0,5.0,2.0,1.0,3.0,4.0,3.0,8.0,0,0.0,0
P0132,8,Female,Atkinson,1,0,99.27185676647288,3,6,2,2.0,6.0,3.0,4.0,5.0,4.0,3.0,7.0,3,2.0,0
P0133,7,Male,Atkinson,1,0,86.71284191381405,4,3,4,5.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,4,2.0,0
P0134,8,Male,Darwin,0,0,92.1,7,8,3,8.0,7.0,2.0,3.0,3.0,2.0,6.0,8.0,3,2.0,0
P0135,11,Male,Brunel,1,0,89.38596704456913,4,5,8,4.0,5.0,9.0,3.0,,4.0,6.0,13.0,4,2.0,0
P0136,8,Female,Churchill,1,1,85.30075377756799,9,7,7,7.0,7.0,8.0,5.0,2.0,3.0,8.0,5.0,4,3.0,0
P0137,9,Female,Darwin,1,0,94.18907928571376,6,6,4,6.0,7.0,4.0,1.0,3.0,3.0,4.0,4.0,5,1.0,0
P0138,10,Male,Atkinson,0,0,88.5,6,6,9,7.0,5.0,9.0,5.0,3.0,3.0,7.0,9.0,6,2.0,0
P0139,8,Male,Atkinson,0,0,86.2,4,6,7,3.0,7.0,9.0,4.0,4.0,1.0,6.0,4.0,3,2.0,0
P0140,11,Female,Darwin,0,0,96.7,7,6,5,7.0,6.0,,3.0,4.0,3.0,7.0,6.0,4,3.0,0
P0141,11,Male,Churchill,1,0,93.60663681939798,4,6,1,4.0,6.0,3.0,3.0,2.0,2.0,4.0,,1,2.0,0
P0142,8,Female,Brunel,0,0,88.2,6,8,9,7.0,7.0,9.0,3.0,3.0,2.0,8.0,11.0,3,4.0,0
P0143,9,Male,Brunel,0,0,98.4,9,6,3,9.0,4.0,3.0,4.0,4.0,1.0,,8.0,3,2.0,0
P0144,8,Female,Atkinson,0,0,89.2,5,7,2,4.0,8.0,1.0,4.0,4.0,4.0,4.0,4.0,2,1.0,0
P0145,8,Male,Churchill,0,0,94.5,8,5,7,9.0,6.0,7.0,4.0,5.0,2.0,7.0,6.0,4,1.0,0
P0146,7,Female,Brunel,0,1,97.9,4,8,9,4.0,8.0,9.0,3.0,,5.0,7.0,9.0,3,0.0,0
P0147,10,Male,Churchill,0,0,92.8,5,4,8,5.0,4.0,9.0,3.0,2.0,2.0,,9.0,5,2.0,0
P0148,9,Female,Churchill,0,0,95.7,9,8,6,8.0,9.0,6.0,3.0,2.0,1.0,8.0,6.0,3,4.0,0
P0149,7,Female,Atkinson,0,1,89.9,4,5,6,4.0,4.0,6.0,,3.0,2.0,5.0,10.0,4,1.0,0
P0150,8,Male,Brunel,1,0,87.58903134563442,9,3,7,8.0,3.0,8.0,,,4.0,6.0,6.0,2,0.0,0
P0151,11,Male,Darwin,0,0,91.8,7,6,7,7.0,7.0,7.0,4.0,4.0,3.0,7.0,4.0,0,2.0,0
P0152,8,Female,Atkinson,1,1,83.72468406436882,4,4,6,6.0,3.0,8.0,,,2.0,,4.0,4,0.0,0
P0153,7,Male,Brunel,0,0,91.9,7,7,6,6.0,7.0,6.0,4.0,,3.0,6.0,8.0,3,0.0,0
P0154,9,Female,Brunel,0,0,83.7,7,4,5,6.0,3.0,5.0,3.0,3.0,4.0,5.0,9.0,2,3.0,0
P0155,11,Male,Brunel,1,0,87.04536806258261,7,5,4,8.0,6.0,4.0,,2.0,4.0,7.0,10.0,4,2.0,0
P0156,8,Female,Brunel,0,0,91.3,3,2,5,3.0,2.0,4.0,3.0,5.0,4.0,2.0,13.0,6,3.0,0
P0157,10,Female,Brunel,0,0,91.5,4,5,2,4.0,4.0,2.0,4.0,1.0,3.0,4.0,,4,1.0,0
P0158,10,Female,Churchill,0,0,91.6,5,1,5,6.0,2.0,5.0,4.0,3.0,2.0,5.0,8.0,4,1.0,0
P0159,8,Female,Atkinson,1,1,90.58736822254927,5,3,4,5.0,2.0,4.0,2.0,5.0,3.0,4.0,11.0,4,2.0,0
P0160,10,Female,Churchill,0,0,95.9,7,7,3,9.0,6.0,3.0,4.0,3.0,3.0,7.0,1.0,1,4.0,0
P0161,8,Female,Darwin,0,0,98.2,6,7,6,7.0,7.0,5.0,2.0,3.0,2.0,7.0,14.0,1,3.0,0
P0162,10,Male,Brunel,0,0,89.1,3,6,8,3.0,7.0,8.0,2.0,3.0,2.0,,10.0,1,1.0,0
P0163,10,Male,Atkinson,0,0,85.8,6,4,7,8.0,3.0,6.0,3.0,3.0,3.0,6.0,9.0,4,,0
P0164,9,Male,Brunel,0,0,86.7,7,5,3,7.0,5.0,4.0,4.0,4.0,3.0,6.0,10.0,3,1.0,0
P0165,7,Female,Atkinson,0,0,90.1,7,5,4,8.0,5.0,4.0,4.0,1.0,3.0,6.0,6.0,4,3.0,0
P0166,11,Female,Churchill,0,0,90.9,7,3,7,7.0,4.0,6.0,4.0,5.0,2.0,5.0,12.0,4,1.0,0
P0167,8,Female,Atkinson,0,0,88.4,7,8,4,8.0,8.0,4.0,4.0,2.0,3.0,6.0,6.0,2,1.0,0
P0168,7,Female,Darwin,0,1,85.2,6,7,5,7.0,7.0,5.0,4.0,3.0,2.0,6.0,11.0,7,2.0,0
P0169,7,Male,Darwin,1,0,87.6914409931654,5,5,6,5.0,4.0,7.0,3.0,3.0,4.0,5.0,7.0,3,3.0,0
P0170,9,Male,Atkinson,0,0,94.1,3,5,4,3.0,5.0,5.0,4.0,4.0,4.0,,7.0,1,1.0,0
P0171,10,Female,Atkinson,0,0,96.6,6,6,6,7.0,5.0,,4.0,2.0,1.0,6.0,7.0,3,3.0,0
P0172,7,Male,Atkinson,1,0,88.38665132334758,6,2,3,6.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,2,2.0,0
P0173,9,Male,Atkinson,0,0,90.5,6,5,4,8.0,5.0,4.0,4.0,5.0,2.0,6.0,5.0,2,2.0,0
P0174,8,Female,Darwin,0,0,87.4,3,4,6,3.0,5.0,7.0,4.0,2.0,2.0,5.0,7.0,3,2.0,0
P0175,10,Male,Brunel,1,0,88.96360411242185,4,4,3,4.0,2.0,3.0,4.0,3.0,3.0,3.0,14.0,3,0.0,0
P0176,7,Female,Atkinson,1,0,,7,5,6,7.0,4.0,6.0,4.0,2.0,2.0,5.0,9.0,3,5.0,0
P0177,10,Male,Atkinson,0,0,96.4,5,8,5,4.0,9.0,5.0,3.0,4.0,2.0,6.0,4.0,3,2.0,0
P0178,8,Female,Darwin,1,0,,7,6,6,6.0,8.0,6.0,2.0,3.0,2.0,7.0,12.0,6,2.0,1
P0179,11,Female,Darwin,0,0,90.8,6,4,6,7.0,4.0,7.0,3.0,2.0,3.0,7.0,9.0,6,0.0,0
P0180,7,Female,Churchill,0,0,94.8,6,6,8,6.0,5.0,8.0,2.0,4.0,3.0,6.0,5.0,3,4.0,0
P0181,8,Female,Atkinson,0,0,94.1,7,8,6,6.0,8.0,8.0,3.0,5.0,2.0,6.0,5.0,3,1.0,0
P0182,7,Male,Churchill,1,0,98.42223262778444,5,7,5,6.0,8.0,5.0,3.0,3.0,3.0,,7.0,3,1.0,0
P0183,11,Female,Darwin,0,0,95.1,6,5,6,7.0,,6.0,2.0,4.0,2.0,6.0,13.0,2,5.0,0
P0184,11,Female,Darwin,0,0,87.0,5,4,6,6.0,3.0,,3.0,2.0,3.0,4.0,10.0,3,0.0,0
P0185,8,Female,Brunel,0,0,92.4,5,6,5,,6.0,4.0,1.0,2.0,5.0,5.0,10.0,3,2.0,0
P0186,10,Male,Atkinson,0,1,82.3,5,6,5,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4,1.0,0
P0187,11,Female,Churchill,0,0,92.5,6,7,4,5.0,7.0,5.0,3.0,5.0,2.0,5.0,7.0,1,3.0,0
P0188,9,Male,Darwin,0,0,,5,6,4,6.0,8.0,5.0,2.0,3.0,4.0,5.0,5.0,4,2.0,0
P0189,9,Female,Darwin,0,0,98.5,8,7,3,8.0,7.0,2.0,,3.0,4.0,6.0,11.0,1,5.0,0
P0190,8,Male,Churchill,0,1,89.7,4,4,9,4.0,4.0,9.0,4.0,3.0,2.0,6.0,7.0,5,3.0,0
P0191,7,Male,Brunel,0,0,92.3,5,8,3,6.0,8.0,3.0,2.0,2.0,4.0,6.0,9.0,2,2.0,0
P0192,11,Female,Darwin,0,0,89.2,5,6,4,6.0,5.0,4.0,2.0,4.0,5.0,4.0,7.0,2,2.0,0
P0193,11,Male,Atkinson,0,0,100.0,8,9,4,9.0,9.0,6.0,2.0,4.0,2.0,8.0,8.0,5,1.0,0
P0194,10,Female,Darwin,0,0,91.1,6,4,7,8.0,,8.0,2.0,3.0,2.0,,6.0,4,0.0,0
P0195,8,Female,Atkinson,1,0,99.38340754462354,7,8,5,7.0,8.0,5.0,4.0,3.0,4.0,7.0,2.0,1,1.0,0
P0196,8,Female,Churchill,0,1,97.9,3,6,8,4.0,9.0,8.0,3.0,3.0,,7.0,6.0,3,3.0,0
P0197,10,Male,Atkinson,0,1,95.9,6,4,4,6.0,4.0,3.0,3.0,3.0,4.0,4.0,6.0,5,1.0,0
P0198,11,Male,Churchill,0,0,95.2,7,4,6,7.0,3.0,,1.0,3.0,3.0,5.0,12.0,3,1.0,0
P0199,11,Female,Atkinson,0,0,95.4,6,5,4,,5.0,4.0,4.0,5.0,3.0,6.0,5.0,1,,0
P0200,10,Female,Churchill,0,1,81.4,7,6,9,8.0,,9.0,2.0,3.0,2.0,9.0,5.0,1,2.0,0
