record_id,student_id,subject,academic_year,term,percentage,grade,effort,teacher_id,predicted_grade
202,S013,French,2023-24,Autumn,70,B,3,T10,B
203,S013,French,2023-24,Spring,59,D,2,T10,D
204,S013,French,2023-24,Summer,58,D,4,T10,D
205,S013,Computing,2023-24,Autumn,61,C,4,T11,D
206,S013,Computing,2023-24,Spring,65,C,4,T11,C
207,S013,Computing,2023-24,Summer,61,C,3,T11,C
208,S013,Art & Design,2023-24,Autumn,64,C,4,T12,C
209,S013,Art & Design,2023-24,Spring,67,C,4,T12,B
210,S013,Art & Design,2023-24,Summer,67,C,4,T12,C
211,S013,Mathematics,2024-25,Autumn,67,C,5,T02,C
212,S013,Mathematics,2024-25,Spring,62,C,4,T02,B
213,S013,Mathematics,2024-25,Summer,56,D,2,T01,C
214,S013,English Language,2024-25,Autumn,62,C,5,T03,C
215,S013,English Language,2024-25,Spring,54,D,2,T04,C
216,S013,English Language,2024-25,Summer,46,E,5,T03,D
217,S013,Biology,2024-25,Autumn,58,D,4,T05,C
218,S013,Biology,2024-25,Spring,67,C,3,T05,B
219,S013,Biology,2024-25,Summer,64,C,3,T05,C
220,S013,Chemistry,2024-25,Autumn,52,D,1,T06,D
221,S013,Chemistry,2024-25,Spring,53,D,1,T06,D
222,S013,Chemistry,2024-25,Summer,56,D,4,T06,C
223,S013,Physics,2024-25,Autumn,65,C,4,T07,C
224,S013,Physics,2024-25,Spring,69,C,4,T07,B
225,S013,Physics,2024-25,Summer,57,D,1,T07,D
226,S013,History,2024-25,Autumn,71,B,3,T08,B
227,S013,History,2024-25,Spring,69,C,2,T08,C
228,S013,History,2024-25,Summer,59,D,5,T08,C
229,S013,Geography,2024-25,Autumn,60,C,2,T09,C
230,S013,Geography,2024-25,Spring,64,C,3,T09,C
231,S013,Geography,2024-25,Summer,68,C,5,T09,A
232,S013,French,2024-25,Autumn,67,C,1,T10,B
233,S013,French,2024-25,Spring,52,D,4,T10,D
234,S013,French,2024-25,Summer,68,C,3,T10,B
235,S013,Computing,2024-25,Autumn,44,E,5,T11,E
236,S013,Computing,2024-25,Spring,63,C,5,T11,C
237,S013,Computing,2024-25,Summer,73,B,4,T11,A
238,S013,Art & Design,2024-25,Autumn,56,D,5,T12,D
239,S013,Art & Design,2024-25,Spring,64,C,4,T12,B
240,S013,Art & Design,2024-25,Summer,72,B,4,T12,B
241,S014,Mathematics,2023-24,Autumn,44,E,5,T02,E
242,S014,Mathematics,2023-24,Spring,45,E,3,T02,D
243,S014,Mathematics,2023-24,Summer,35,U,4,T01,E
244,S014,English Language,2023-24,Autumn,38,U,5,T03,U
245,S014,English Language,2023-24,Spring,28,U,4,T03,U
246,S014,English Language,2023-24,Summer,41,E,3,T04,U
247,S014,Biology,2023-24,Autumn,45,E,5,T05,E
248,S014,Biology,2023-24,Spring,47,E,1,T05,D
249,S014,Biology,2023-24,Summer,26,U,3,T05,U
250,S014,Chemistry,2023-24,Autumn,39,U,2,T06,U
251,S014,Chemistry,2023-24,Spring,47,E,3,T06,D
252,S014,Chemistry,2023-24,Summer,33,U,3,T06,U
253,S014,Physics,2023-24,Autumn,36,U,4,T07,U
254,S014,Physics,2023-24,Spring,30,U,4,T07,U
255,S014,Physics,2023-24,Summer,30,U,3,T07,U
256,S014,History,2023-24,Autumn,29,U,3,T08,U
257,S014,History,2023-24,Spring,33,U,4,T08,E
258,S014,History,2023-24,Summer,45,E,4,T08,E
259,S014,Geography,2023-24,Autumn,44,E,5,T09,E
260,S014,Geography,2023-24,Spring,44,E,4,T09,E
261,S014,Geography,2023-24,Summer,37,U,3,T09,U
262,S014,French,2023-24,Autumn,40,E,5,T10,U
263,S014,French,2023-24,Spring,29,U,4,T10,U
264,S014,French,2023-24,Summer,33,U,3,T10,U
265,S014,Computing,2023-24,Autumn,46,E,3,T11,D
266,S014,Computing,2023-24,Spring,33,U,2,T11,U
267,S014,Computing,2023-24,Summer,41,E,3,T11,E
268,S014,Art & Design,2023-24,Autumn,51,D,3,T12,E
269,S014,Art & Design,2023-24,Spring,39,U,3,T12,D
270,S014,Art & Design,2023-24,Summer,47,E,3,T12,D
271,S014,Mathematics,2024-25,Autumn,33,U,4,T01,E
272,S014,Mathematics,2024-25,Spring,26,U,5,T01,U
273,S014,Mathematics,2024-25,Summer,42,E,4,T02,E
274,S014,English Language,2024-25,Autumn,35,U,1,T04,E
275,S014,English Language,2024-25,Spring,35,U,5,T04,U
276,S014,English Language,2024-25,Summer,46,E,3,T03,D
277,S014,Biology,2024-25,Autumn,44,E,4,T05,E
278,S014,Biology,2024-25,Spring,55,D,2,T05,C
279,S014,Biology,2024-25,Summer,26,U,5,T05,U
280,S014,Chemistry,2024-25,Autumn,35,U,3,T06,U
281,S014,Chemistry,2024-25,Spring,36,U,1,T06,U
282,S014,Chemistry,2024-25,Summer,43,E,4,T06,D
283,S014,Physics,2024-25,Autumn,,,,T07,U
284,S014,Physics,2024-25,Spring,41,E,5,T07,D
285,S014,Physics,2024-25,Summer,,,,T07,U
286,S014,History,2024-25,Autumn,33,U,5,T08,U
287,S014,History,2024-25,Spring,35,U,3,T08,E
288,S014,History,2024-25,Summer,43,E,5,T08,E
289,S014,Geography,2024-25,Autumn,27,U,3,T09,U
290,S014,Geography,2024-25,Spring,46,E,5,T09,D
291,S014,Geography,2024-25,Summer,47,E,3,T09,D
292,S014,French,2024-25,Autumn,29,U,4,T10,U
293,S014,French,2024-25,Spring,26,U,4,T10,U
294,S014,French,2024-25,Summer,32,U,5,T10,U
295,S014,Computing,2024-25,Autumn,44,E,4,T11,D
296,S014,Computing,2024-25,Spring,38,U,3,T11,E
297,S014,Computing,2024-25,Summer,28,U,3,T11,U
298,S014,Art & Design,2024-25,Autumn,29,U,4,T12,U
299,S014,Art & Design,2024-25,Spring,42,E,4,T12,E
300,S014,Art & Design,2024-25,Summer,36,U,5,T12,E
301,S015,Mathematics,2023-24,Autumn,75,B,2,T01,C
302,S015,Mathematics,2023-24,Spring,80,A,2,T02,B
303,S015,Mathematics,2023-24,Summer,64,C,3,T02,B
304,S015,English Language,2023-24,Autumn,65,C,4,T04,C
305,S015,English Language,2023-24,Spring,75,B,2,T04,A
306,S015,English Language,2023-24,Summer,77,B,5,T03,B
307,S015,Biology,2023-24,Autumn,73,B,5,T05,C
308,S015,Biology,2023-24,Spring,73,B,2,T05,B
309,S015,Biology,2023-24,Summer,68,C,3,T05,B
310,S015,Chemistry,2023-24,Autumn,71,B,5,T06,B
311,S015,Chemistry,2023-24,Spring,74,B,5,T06,B
312,S015,Chemistry,2023-24,Summer,91,A*,5,T06,A*
313,S015,Physics,2023-24,Autumn,94,A*,4,T07,A*
314,S015,Physics,2023-24,Spring,75,B,3,T07,A
315,S015,Physics,2023-24,Summer,66,C,1,T07,B
316,S015,History,2023-24,Autumn,71,B,3,T08,B
317,S015,History,2023-24,Spring,74,B,4,T08,C
318,S015,History,2023-24,Summer,77,B,3,T08,B
319,S015,Geography,2023-24,Autumn,71,B,4,T09,B
320,S015,Geography,2023-24,Spring,71,B,4,T09,B
321,S015,Geography,2023-24,Summer,74,B,4,T09,B
322,S015,French,2023-24,Autumn,79,B,2,T10,A
323,S015,French,2023-24,Spring,83,A,3,T10,A*
324,S015,French,2023-24,Summer,58,D,3,T10,D
325,S015,Computing,2023-24,Autumn,75,B,3,T11,A
326,S015,Computing,2023-24,Spring,79,B,3,T11,A
327,S015,Computing,2023-24,Summer,77,B,5,T11,A
328,S015,Art & Design,2023-24,Autumn,76,B,2,T12,B
329,S015,Art & Design,2023-24,Spring,62,C,3,T12,C
330,S015,Art & Design,2023-24,Summer,80,A,4,T12,A
331,S015,Mathematics,2024-25,Autumn,65,C,2,T01,C
332,S015,Mathematics,2024-25,Spring,84,A,5,T01,A
333,S015,Mathematics,2024-25,Summer,84,A,1,T01,A
334,S015,English Language,2024-25,Autumn,61,C,2,T03,C
335,S015,English Language,2024-25,Spring,85,A,5,T04,A
336,S015,English Language,2024-25,Summer,70,B,4,T04,B
337,S015,Biology,2024-25,Autumn,75,B,2,T05,B
338,S015,Biology,2024-25,Spring,68,C,4,T05,C
339,S015,Biology,2024-25,Summer,71,B,5,T05,B
340,S015,Chemistry,2024-25,Autumn,,,,T06,B
341,S015,Chemistry,2024-25,Spring,85,A,5,T06,A*
342,S015,Chemistry,2024-25,Summer,83,A,3,T06,B
343,S015,Physics,2024-25,Autumn,82,A,5,T07,A
344,S015,Physics,2024-25,Spring,66,C,5,T07,C
345,S015,Physics,2024-25,Summer,74,B,5,T07,B
346,S015,History,2024-25,Autumn,72,B,4,T08,B
347,S015,History,2024-25,Spring,72,B,4,T08,A
348,S015,History,2024-25,Summer,67,C,4,T08,C
349,S015,Geography,2024-25,Autumn,82,A,4,T09,A
350,S015,Geography,2024-25,Spring,85,A,5,T09,A*
351,S015,Geography,2024-25,Summer,57,D,3,T09,C
352,S015,French,2024-25,Autumn,74,B,4,T10,B
353,S015,French,2024-25,Spring,90,A*,4,T10,A*
354,S015,French,2024-25,Summer,83,A,3,T10,A
355,S015,Computing,2024-25,Autumn,73,B,4,T11,B
356,S015,Computing,2024-25,Spring,71,B,5,T11,C
357,S015,Computing,2024-25,Summer,85,A,4,T11,A
358,S015,Art & Design,2024-25,Autumn,68,C,2,T12,C
359,S015,Art & Design,2024-25,Spring,70,B,5,T12,B
360,S015,Art & Design,2024-25,Summer,72,B,3,T12,A
361,S016,Mathematics,2023-24,Autumn,,,,T01,A
362,S016,Mathematics,2023-24,Spring,61,C,5,T02,C
363,S016,Mathematics,2023-24,Summer,59,D,5,T01,D
364,S016,English Language,2023-24,Autumn,60,C,2,T03,C
365,S016,English Language,2023-24,Spring,57,D,1,T04,D
366,S016,English Language,2023-24,Summer,52,D,3,T04,D
367,S016,Biology,2023-24,Autumn,61,C,4,T05,C
368,S016,Biology,2023-24,Spring,46,E,1,T05,D
369,S016,Biology,2023-24,Summer,65,C,3,T05,D
370,S016,Chemistry,2023-24,Autumn,61,C,4,T06,C
371,S016,Chemistry,2023-24,Spring,57,D,5,T06,C
372,S016,Chemistry,2023-24,Summer,52,D,3,T06,E
373,S016,Physics,2023-24,Autumn,68,C,4,T07,B
374,S016,Physics,2023-24,Spring,56,D,4,T07,D
375,S016,Physics,2023-24,Summer,60,C,4,T07,D
376,S016,History,2023-24,Autumn,53,D,2,T08,C
377,S016,History,2023-24,Spring,69,C,4,T08,B
378,S016,History,2023-24,Summer,63,C,5,T08,C
379,S016,Geography,2023-24,Autumn,56,D,4,T09,C
380,S016,Geography,2023-24,Spring,62,C,1,T09,C
381,S016,Geography,2023-24,Summer,64,C,1,T09,C
382,S016,French,2023-24,Autumn,,,,T10,C
383,S016,French,2023-24,Spring,53,D,4,T10,C
384,S016,French,2023-24,Summer,72,B,5,T10,B
385,S016,Computing,2023-24,Autumn,60,C,4,T11,D
386,S016,Computing,2023-24,Spring,73,B,2,T11,B
387,S016,Computing,2023-24,Summer,66,C,4,T11,D
388,S016,Art & Design,2023-24,Autumn,67,C,3,T12,C
389,S016,Art & Design,2023-24,Spring,74,B,1,T12,B
390,S016,Art & Design,2023-24,Summer,80,A,3,T12,B
391,S016,Mathematics,2024-25,Autumn,75,B,4,T01,B
392,S016,Mathematics,2024-25,Spring,73,B,4,T01,B
393,S016,Mathematics,2024-25,Summer,71,B,5,T02,B
394,S016,English Language,2024-25,Autumn,67,C,3,T03,C
395,S016,English Language,2024-25,Spring,57,D,3,T03,D
396,S016,English Language,2024-25,Summer,56,D,5,T04,C
397,S016,Biology,2024-25,Autumn,61,C,2,T05,C
398,S016,Biology,2024-25,Spring,59,D,3,T05,C
399,S016,Biology,2024-25,Summer,74,B,5,T05,B
400,S016,Chemistry,2024-25,Autumn,65,C,2,T06,B
401,S016,Chemistry,2024-25,Spring,75,B,3,T06,A
402,S016,Chemistry,2024-25,Summer,63,C,2,T06,C
403,S016,Physics,2024-25,Autumn,70,B,5,T07,B
404,S016,Physics,2024-25,Spring,70,B,4,T07,A
405,S016,Physics,2024-25,Summer,61,C,3,T07,D
406,S016,History,2024-25,Autumn,66,C,4,T08,C
407,S016,History,2024-25,Spring,54,D,4,T08,C
408,S016,History,2024-25,Summer,62,C,3,T08,C
409,S016,Geography,2024-25,Autumn,66,C,3,T09,B
410,S016,Geography,2024-25,Spring,67,C,4,T09,B
411,S016,Geography,2024-25,Summer,58,D,3,T09,D
412,S016,French,2024-25,Autumn,59,D,3,T10,D
413,S016,French,2024-25,Spring,63,C,5,T10,C
414,S016,French,2024-25,Summer,66,C,5,T10,C
415,S016,Computing,2024-25,Autumn,,,,T11,C
416,S016,Computing,2024-25,Spring,57,D,4,T11,C
417,S016,Computing,2024-25,Summer,75,B,3,T11,B
418,S016,Art & Design,2024-25,Autumn,61,C,1,T12,B
419,S016,Art & Design,2024-25,Spring,68,C,2,T12,B
420,S016,Art & Design,2024-25,Summer,60,C,3,T12,C
421,S017,Mathematics,2023-24,Autumn,79,B,3,T01,B
422,S017,Mathematics,2023-24,Spring,95,A*,5,T01,A*
423,S017,Mathematics,2023-24,Summer,85,A,2,T01,A
424,S017,English Language,2023-24,Autumn,78,B,4,T04,B
425,S017,English Language,2023-24,Spring,75,B,4,T03,B
426,S017,English Language,2023-24,Summer,98,A*,4,T04,A*
427,S017,Biology,2023-24,Autumn,,,,T05,A
428,S017,Biology,2023-24,Spring,95,A*,3,T05,A*
429,S017,Biology,2023-24,Summer,68,C,2,T05,C
430,S017,Chemistry,2023-24,Autumn,77,B,4,T06,B
431,S017,Chemistry,2023-24,Spring,90,A*,4,T06,B
432,S017,Chemistry,2023-24,Summer,81,A,3,T06,B
433,S017,Physics,2023-24,Autumn,93,A*,3,T07,A*
434,S017,Physics,2023-24,Spring,82,A,4,T07,A
435,S017,Physics,2023-24,Summer,79,B,4,T07,A
436,S017,History,2023-24,Autumn,87,A,4,T08,A
437,S017,History,2023-24,Spring,,,,T08,A*
438,S017,History,2023-24,Summer,85,A,3,T08,A
439,S017,Geography,2023-24,Autumn,77,B,3,T09,A
440,S017,Geography,2023-24,Spring,83,A,4,T09,A
441,S017,Geography,2023-24,Summer,80,A,4,T09,A
442,S017,French,2023-24,Autumn,79,B,2,T10,A
443,S017,French,2023-24,Spring,86,A,3,T10,A
444,S017,French,2023-24,Summer,81,A,3,T10,A
445,S017,Computing,2023-24,Autumn,78,B,3,T11,B
446,S017,Computing,2023-24,Spring,91,A*,3,T11,A
447,S017,Computing,2023-24,Summer,87,A,4,T11,A
448,S017,Art & Design,2023-24,Autumn,99,A*,3,T12,A*
449,S017,Art & Design,2023-24,Spring,80,A,4,T12,A
450,S017,Art & Design,2023-24,Summer,87,A,3,T12,A
451,S017,Mathematics,2024-25,Autumn,76,B,4,T02,A
452,S017,Mathematics,2024-25,Spring,79,B,5,T01,A
453,S017,Mathematics,2024-25,Summer,68,C,4,T02,B
454,S017,English Language,2024-25,Autumn,93,A*,4,T03,A*
455,S017,English Language,2024-25,Spring,84,A,4,T04,B
456,S017,English Language,2024-25,Summer,77,B,5,T03,A
457,S017,Biology,2024-25,Autumn,85,A,3,T05,A
458,S017,Biology,2024-25,Spring,,,,T05,A
459,S017,Biology,2024-25,Summer,79,B,3,T05,B
460,S017,Chemistry,2024-25,Autumn,84,A,4,T06,A
461,S017,Chemistry,2024-25,Spring,83,A,3,T06,A*
462,S017,Chemistry,2024-25,Summer,94,A*,3,T06,A*
463,S017,Physics,2024-25,Autumn,72,B,2,T07,B
464,S017,Physics,2024-25,Spring,87,A,2,T07,A
465,S017,Physics,2024-25,Summer,71,B,5,T07,C
466,S017,History,2024-25,Autumn,80,A,3,T08,A
467,S017,History,2024-25,Spring,89,A,4,T08,A
468,S017,History,2024-25,Summer,89,A,3,T08,A
469,S017,Geography,2024-25,Autumn,89,A,4,T09,A
470,S017,Geography,2024-25,Spring,74,B,3,T09,B
471,S017,Geography,2024-25,Summer,83,A,4,T09,A
472,S017,French,2024-25,Autumn,75,B,3,T10,B
