student_id,year_group,gender,attendance_pct,effort_score,prior_attainment,pupil_premium,sen_support,rewards,sanctions,teacher_experience_yrs,class_size,percentage_score
S042,9,1,94.8,3,52.0,0,0,2,2,5.9,24,51.5
S043,7,0,83.7,4,59.7,0,0,6,2,4.5,28,53.0
S044,11,0,89.7,4,65.6,0,1,6,4,17.4,32,71.8
S045,8,0,84.9,3,58.7,0,0,3,1,13.2,26,59.8
S046,10,0,81.3,5,58.6,1,0,3,0,9.1,28,60.4
S047,8,1,97.5,4,48.2,1,0,11,1,15.8,26,68.5
S048,9,1,100.0,4,48.7,0,0,7,2,1.4,32,65.0
S049,9,0,81.2,5,38.4,0,0,8,0,2.3,21,59.4
S050,7,1,94.9,5,82.5,0,0,7,1,1.0,27,86.9
S051,11,0,86.4,4,40.6,0,0,3,0,5.5,22,59.5
S052,10,1,87.6,5,48.3,0,0,4,2,9.8,19,57.2
S053,11,0,86.9,4,47.9,0,1,4,2,9.5,27,48.3
S054,11,0,85.0,4,70.5,0,1,6,3,9.7,27,65.8
S055,9,0,91.3,4,53.9,1,0,5,0,1.9,26,44.2
S056,11,0,85.2,4,75.5,0,0,11,5,13.0,26,69.1
S057,7,0,92.9,2,48.6,0,0,10,5,10.2,32,42.0
S058,7,0,90.6,5,61.9,1,0,5,1,12.7,26,68.2
S059,7,1,89.3,5,46.3,0,0,1,4,1.0,28,51.7
S060,8,0,84.6,1,88.0,0,0,5,2,10.6,25,59.8
S061,8,1,87.0,5,41.4,0,0,4,3,3.1,27,52.1
S062,8,0,96.3,2,62.3,0,0,4,2,7.0,26,49.9
S063,10,1,94.5,3,66.9,1,0,7,3,11.7,25,71.3
S064,8,1,84.2,4,63.8,0,1,9,2,9.5,32,72.1
S065,8,1,91.7,2,55.4,0,1,4,2,4.7,30,39.2
S066,9,0,96.3,4,56.2,1,0,6,2,9.0,27,68.6
S067,7,0,79.3,5,58.6,1,0,6,2,1.3,20,57.5
S068,10,1,94.8,3,55.9,1,1,5,0,14.8,25,56.2
S069,7,0,86.4,1,71.5,0,0,8,4,8.0,32,51.8
S070,11,1,95.0,3,88.9,0,0,6,4,14.6,26,69.2
S071,10,0,85.7,4,50.2,1,0,4,1,6.4,30,58.9
S072,7,1,78.4,5,38.8,1,0,7,3,6.4,31,52.4
S073,7,1,79.6,4,56.8,0,0,5,0,5.2,27,60.2
S074,10,0,91.3,3,94.1,0,1,2,2,13.4,24,63.0
S075,10,1,92.8,4,46.7,0,1,2,0,5.5,19,48.7
S076,10,0,84.7,4,80.9,1,0,10,3,12.2,29,62.9
S077,10,1,95.5,4,81.5,0,0,10,2,7.1,24,77.3
S078,7,1,79.4,2,50.2,0,1,7,1,1.0,27,36.1
S079,8,0,90.5,4,66.0,0,0,6,0,6.1,23,68.9
S080,7,0,82.5,4,80.8,0,1,6,0,3.1,26,75.6
S081,11,0,86.4,5,52.7,1,0,6,4,9.2,27,63.3
S082,9,1,91.3,3,55.1,0,0,8,2,3.0,27,56.2
S083,8,0,85.0,4,49.9,1,0,4,2,13.6,23,55.9
S084,7,1,88.3,5,43.8,1,0,3,3,8.5,30,64.2
S085,8,1,98.0,2,48.9,0,0,6,5,8.1,25,49.0
S086,8,0,87.0,5,40.9,0,0,7,3,12.3,21,59.7
S087,10,0,96.8,4,58.5,0,0,7,0,13.8,26,65.0
S088,9,1,83.1,1,47.2,1,0,2,0,8.9,27,41.0
S089,11,1,94.7,3,61.3,0,0,6,2,5.1,27,63.0
S090,9,0,100.0,4,36.2,0,1,8,2,1.0,31,45.8
S091,7,0,73.7,1,62.6,1,1,11,2,5.6,26,42.0
S092,10,0,85.4,4,69.7,0,0,8,3,5.9,26,63.8
S093,10,0,95.0,3,30.1,1,1,9,0,9.5,23,43.2
S094,9,0,89.6,4,63.2,0,0,5,0,7.3,29,55.7
S095,10,1,93.6,1,75.2,0,0,4,3,12.4,27,54.5
S096,9,1,86.8,5,41.1,0,1,10,2,5.9,25,61.6
S097,9,1,91.6,5,81.4,1,0,5,3,8.7,21,70.0
S098,8,1,89.9,5,63.9,0,0,2,1,14.9,31,74.1
S099,7,0,99.2,4,48.1,1,1,9,3,10.7,23,50.9
S100,7,0,92.8,2,57.2,1,0,8,3,8.7,25,52.3
S101,7,0,93.4,4,65.8,0,1,6,1,6.0,28,63.3
S102,9,1,88.1,1,59.1,1,1,3,3,5.8,23,29.7
S103,8,1,87.6,1,65.5,0,0,3,4,4.7,22,50.9
S104,9,0,88.0,3,45.1,0,1,8,2,6.3,20,52.3
S105,11,0,93.8,3,60.4,0,0,4,1,12.8,29,59.4
S106,8,1,88.1,4,38.2,1,0,3,4,7.9,25,47.1
S107,8,1,93.0,4,56.4,0,0,4,1,2.3,32,64.1
S108,10,0,100.0,3,45.3,0,1,6,1,17.8,24,59.7
S109,8,0,97.1,3,47.7,0,0,5,3,10.6,24,46.3
S110,7,1,88.7,5,75.3,0,0,7,1,2.0,25,81.2
S111,8,0,99.4,3,73.3,0,0,10,4,6.8,27,63.8
S112,7,0,88.1,3,66.5,1,0,8,3,9.6,25,57.2
S113,11,0,76.7,2,42.7,1,0,7,0,17.5,28,60.7
S114,10,1,83.9,4,53.6,0,0,5,2,3.5,24,58.0
S115,9,1,77.9,4,75.0,1,0,5,3,13.9,22,62.5
S116,11,1,88.5,3,60.0,0,0,6,2,16.0,21,51.1
S117,10,1,91.1,2,90.5,1,0,6,1,5.9,20,71.6
S118,7,1,100.0,4,63.5,0,0,3,4,7.6,25,56.6
S119,11,1,93.3,4,60.7,0,0,7,1,3.8,26,60.0
S120,9,1,89.5,3,53.7,0,1,4,1,8.0,25,50.1
S121,10,0,96.8,5,59.9,1,0,7,0,8.8,30,78.3
S122,11,0,75.5,2,55.9,0,1,6,3,12.3,30,47.2
S123,8,0,92.6,3,67.9,0,0,7,0,14.5,25,70.7
S124,7,0,96.4,5,71.4,0,1,4,2,5.3,21,70.6
S125,8,0,80.6,3,47.0,0,0,3,1,1.0,25,44.7
S126,8,0,99.0,4,39.4,0,0,4,1,8.9,25,59.2
S127,10,0,93.4,3,32.3,0,0,6,2,10.5,25,48.9
S128,11,1,88.1,3,65.1,1,1,5,4,10.2,24,53.0
S129,7,1,95.4,5,42.6,0,0,5,4,7.4,25,63.8
S130,9,0,100.0,3,27.9,1,0,12,3,9.6,25,49.0
S131,8,0,92.3,5,63.4,0,0,6,4,16.6,25,70.7
S132,8,1,92.7,3,92.9,1,0,4,1,10.9,27,76.8
S133,7,0,87.8,2,57.9,1,0,6,2,7.1,28,48.7
S134,8,0,85.1,1,69.7,0,0,6,1,6.5,24,48.5
S135,11,1,96.8,4,59.1,0,1,9,1,8.2,30,61.8
S136,8,0,85.0,3,56.6,0,0,9,4,17.2,24,60.4
S137,9,1,91.5,5,70.9,0,0,5,2,8.1,22,78.5
S138,10,0,87.7,3,53.9,1,0,7,0,8.9,28,55.4
S139,8,1,94.4,5,61.7,0,0,10,3,6.6,24,65.8
S140,11,1,93.3,2,62.5,0,0,2,1,14.5,27,58.0
S141,11,1,98.3,5,48.6,0,0,5,2,18.8,19,70.7
S142,8,0,87.4,4,71.9,1,0,5,2,11.3,31,67.3
S143,9,1,89.1,4,55.6,0,0,5,0,9.4,29,70.3
S144,8,0,84.1,5,47.4,0,0,7,2,9.2,22,69.0
S145,8,0,87.9,4,65.5,0,0,4,5,1.0,22,53.4
S146,7,0,93.6,4,45.4,1,1,7,2,12.7,32,50.4
S147,9,0,96.3,2,58.4,0,0,4,3,9.7,24,47.6
S148,9,1,84.5,1,57.9,0,1,8,0,11.1,24,52.0
S149,7,1,97.1,5,73.2,0,0,5,2,5.4,20,83.1
S150,8,0,100.0,4,64.6,0,0,7,1,7.1,25,69.8
S151,11,0,93.9,4,57.6,0,0,5,3,6.9,26,59.2
S152,8,1,100.0,3,69.4,1,0,8,2,14.1,29,74.2
S153,7,0,85.6,2,77.5,0,0,5,1,7.1,22,65.0
S154,9,1,82.3,2,65.8,0,0,3,2,19.4,22,60.8
S155,11,0,78.5,4,58.1,0,0,8,1,11.2,28,58.6
S156,8,0,100.0,3,39.6,1,0,12,2,2.6,30,53.9
S157,10,1,95.6,2,43.1,0,0,10,5,8.4,22,40.6
S158,10,0,90.6,3,53.7,1,0,3,3,5.7,30,41.5
S159,8,1,93.0,1,49.5,0,0,3,4,1.0,27,34.8
S160,10,0,83.1,4,55.4,0,0,9,2,17.0,30,63.8
S161,8,0,100.0,3,58.8,0,0,7,2,12.5,26,63.5
S162,9,0,91.9,4,65.4,0,1,4,0,11.7,19,59.0
S163,9,1,91.8,3,57.0,0,0,5,2,9.8,26,63.4
S164,9,0,96.1,3,64.8,0,1,3,1,2.1,30,60.4
S165,7,0,94.4,1,58.9,0,0,4,1,6.6,24,40.7
S166,10,0,92.6,2,30.3,1,0,5,2,13.2,25,44.0
S167,8,0,85.5,3,44.8,0,0,4,3,3.7,26,42.4
S168,7,1,94.3,3,56.0,1,0,4,1,1.0,18,56.6
S169,7,1,100.0,4,41.1,0,1,8,2,7.9,32,55.1
S170,9,0,100.0,3,66.4,0,0,7,1,8.3,24,67.5
S171,10,1,100.0,4,79.4,0,0,4,2,9.7,28,73.7
S172,7,0,87.4,5,75.1,0,0,5,1,12.6,26,85.7
S173,9,0,84.1,4,55.0,0,0,6,1,12.2,30,58.3
S174,8,0,90.1,1,78.9,0,1,4,3,10.3,28,54.2
S175,9,1,91.4,3,60.1,0,0,3,3,15.0,26,64.8
S176,7,1,98.7,2,53.3,0,0,7,1,1.4,24,57.0
S177,10,1,79.2,3,49.4,0,0,9,0,11.5,29,70.5
S178,8,1,100.0,5,53.8,1,0,9,3,12.1,21,65.1
S179,11,1,89.9,2,52.6,1,0,7,3,2.8,28,47.2
S180,7,1,88.0,3,60.4,1,0,7,3,1.5,23,50.9
S181,8,1,83.9,4,60.2,1,0,7,0,5.3,30,68.4
S182,7,1,79.4,4,58.0,0,0,9,0,5.7,27,66.1
S183,11,1,96.8,4,64.1,0,1,6,0,12.8,28,66.1
S184,11,0,91.5,1,74.7,1,0,3,4,5.9,27,51.3
S185,8,1,82.0,3,71.3,0,0,7,1,4.7,21,61.2
S186,9,1,81.9,3,37.2,0,0,2,3,5.9,24,34.3
S187,10,1,88.6,2,22.2,0,0,3,0,14.6,29,38.8
S188,9,1,100.0,3,71.1,0,0,5,0,9.1,27,73.3
S189,9,1,89.2,1,38.9,0,0,5,4,8.1,30,42.3
S190,8,1,80.5,2,54.9,1,0,6,1,8.4,28,48.6
S191,7,1,89.3,3,41.6,0,0,8,2,15.5,24,63.4
S192,11,1,89.1,2,32.8,0,0,5,4,5.3,24,28.6
S193,11,1,72.1,4,65.6,1,0,6,1,15.6,27,60.9
S194,9,1,90.6,4,68.6,0,0,7,0,10.1,20,72.2
S195,8,1,89.4,4,49.9,0,0,0,1,8.2,32,57.1
S196,8,0,95.9,2,21.7,0,0,3,2,21.5,28,44.0
S197,10,0,100.0,2,50.4,1,0,7,1,3.7,30,51.9
S198,11,1,98.9,2,63.5,1,0,4,1,7.2,22,51.1
S199,11,1,89.1,4,37.3,0,0,7,1,2.8,30,53.7
S200,10,0,83.3,4,60.6,1,0,7,3,13.8,32,60.0
S201,9,1,100.0,1,57.8,0,0,10,1,17.4,23,55.5
S202,7,0,91.4,5,66.1,1,0,3,1,17.3,29,73.0
S203,7,0,91.1,1,59.7,1,1,4,3,15.1,27,40.9
S204,11,0,90.8,4,44.4,1,0,4,1,8.0,22,52.3
S205,9,0,92.4,4,74.8,0,0,6,2,7.2,28,71.3
S206,7,0,90.0,5,55.8,1,0,9,0,1.0,29,66.8
S207,7,1,87.0,4,57.6,1,0,7,1,19.2,25,65.2
S208,10,0,87.2,4,44.9,0,0,5,3,11.3,30,61.9
S209,7,1,90.8,3,51.8,1,0,6,1,6.5,21,47.8
S210,7,1,87.2,4,45.6,0,0,5,4,15.6,22,53.8
S211,9,0,86.0,2,55.6,1,1,6,2,4.1,27,54.3
S212,10,0,91.7,5,82.0,0,0,6,0,11.0,27,79.1
S213,9,1,89.2,4,38.8,0,0,9,4,8.1,24,46.4
S214,8,0,100.0,4,35.4,0,1,4,2,12.2,29,55.5
S215,10,0,72.4,3,78.6,0,0,7,1,8.7,28,55.3
S216,8,1,98.6,4,55.1,0,1,5,1,1.7,29,56.4
S217,8,1,99.7,4,48.6,0,0,5,2,9.4,26,72.7
S218,10,0,76.5,4,72.6,0,1,7,1,14.2,28,59.1
S219,9,1,88.6,2,49.5,0,0,6,2,8.9,25,39.8
S220,11,0,88.4,1,83.6,0,0,8,2,12.9,32,55.0
S221,9,0,81.1,3,67.5,0,0,5,1,3.8,24,63.9
S222,9,0,85.6,2,51.2,0,0,6,1,8.9,32,57.1
S223,7,1,83.2,5,88.2,1,0,6,5,5.9,27,68.1
S224,8,1,100.0,2,49.5,0,0,10,1,12.7,22,62.9
S225,8,1,97.5,5,68.4,1,0,5,6,9.2,31,71.0
S226,8,1,99.9,3,62.2,1,0,4,4,12.5,27,65.3
S227,11,1,96.1,2,76.2,0,0,3,2,14.4,29,62.2
S228,8,0,83.1,4,79.9,0,0,6,1,12.5,30,64.4
S229,11,0,87.3,4,58.4,1,1,3,1,10.4,28,49.9
S230,9,0,94.4,3,47.5,0,0,4,3,4.0,25,47.4
S231,10,0,82.4,4,64.4,0,1,4,2,9.0,29,56.8
S232,9,1,96.0,4,48.5,0,0,5,1,6.3,27,60.0
S233,9,0,89.3,3,86.2,1,0,7,4,7.3,29,69.2
S234,9,1,88.4,5,59.9,0,0,3,2,7.1,20,72.7
S235,7,0,96.0,5,52.9,0,0,5,1,4.1,28,66.7
S236,10,1,94.1,4,60.6,1,0,5,3,1.0,25,60.7
S237,8,1,88.5,2,39.1,1,0,4,2,5.7,31,40.1
S238,7,0,99.1,4,44.4,0,0,7,4,10.0,28,58.8
S239,9,0,83.4,2,74.8,0,1,9,4,2.3,27,54.5
S240,7,0,95.3,1,48.8,1,0,8,1,9.1,28,46.5
S241,11,0,95.2,3,43.3,0,0,7,4,18.5,24,64.9
S242,11,1,88.8,3,65.5,0,0,8,0,14.1,31,61.6
S243,11,0,93.3,5,74.6,0,0,7,3,17.2,32,76.8
S244,8,0,82.2,4,68.1,1,0,5,3,11.0,28,60.7
S245,7,1,97.5,4,71.9,0,0,10,2,14.8,31,80.8
S246,11,0,89.7,3,47.4,1,0,5,3,5.4,25,51.3
S247,8,0,87.3,3,38.1,1,0,4,1,5.8,24,44.3
S248,11,0,98.3,3,79.0,0,0,5,4,1.0,27,54.2
S249,11,0,86.1,5,53.5,0,1,4,3,14.9,28,64.1
S250,11,0,81.1,1,54.5,0,1,10,0,16.7,25,53.3
S251,8,1,80.1,5,76.6,0,0,5,2,6.2,28,63.4
S252,8,0,95.2,4,65.8,0,0,3,1,7.7,27,68.2
S253,11,0,82.0,3,64.4,1,0,5,0,5.2,24,48.0
S254,8,0,100.0,4,88.3,0,1,5,3,10.9,28,70.6
S255,7,0,76.4,3,49.0,1,0,10,1,14.6,29,51.2
S256,9,0,100.0,5,71.0,0,0,4,1,1.0,27,77.7
S257,11,1,92.5,5,58.8,0,0,8,1,11.0,30,73.9
S258,10,0,90.3,3,61.8,0,0,10,4,7.6,23,52.4
S259,9,1,87.2,3,79.4,0,0,8,3,9.6,28,72.1
S260,7,1,93.8,4,65.1,0,0,9,0,11.3,23,68.5
S261,9,0,90.7,5,65.5,0,0,5,1,8.1,23,74.8
S262,11,0,98.7,2,73.0,0,0,8,4,8.5,25,55.5
S263,7,0,91.8,4,52.9,0,0,8,2,7.9,24,61.9
S264,9,0,92.1,4,46.3,0,0,11,1,13.9,25,69.4
S265,11,1,88.5,4,43.4,0,0,6,2,11.1,26,59.8
S266,10,0,90.6,2,30.5,0,0,7,1,10.1,29,51.0
S267,10,0,93.2,4,86.8,1,1,10,3,2.6,26,65.7
S268,10,0,79.0,5,42.6,0,0,6,3,7.1,22,57.6
S269,8,0,81.6,2,54.9,1,0,8,6,13.5,30,41.1
S270,8,0,96.2,3,54.1,0,0,1,1,9.2,24,58.4
S271,10,0,92.2,5,62.3,0,0,8,3,12.3,26,74.4
S272,10,1,89.7,2,69.4,0,0,4,1,17.8,28,62.9
S273,11,1,91.1,5,70.0,0,0,8,4,14.2,27,65.2
S274,11,0,93.4,3,49.8,0,1,9,2,9.5,30,54.3
S275,9,0,87.2,3,55.7,0,0,3,3,6.4,28,53.8
S276,9,0,85.6,5,62.0,0,0,0,1,1.0,24,59.8
S277,10,1,92.4,3,54.5,0,0,5,2,8.2,32,50.0
S278,9,0,84.2,3,80.5,0,0,6,2,7.4,27,74.1
S279,10,1,93.9,3,64.9,1,0,3,2,11.0,26,59.9
S280,10,0,79.1,4,68.3,0,0,3,1,8.2,29,63.6
S281,11,0,98.2,2,67.3,0,0,4,4,7.4,27,47.8
S282,8,0,94.3,3,74.4,0,0,5,1,1.0,28,60.8
S283,8,0,92.8,5,60.5,0,0,9,1,4.3,32,79.2
S284,7,1,97.9,3,39.8,0,0,2,2,11.4,26,52.6
S285,9,1,100.0,4,63.6,0,0,5,2,17.6,26,69.8
S286,7,0,98.1,3,48.9,0,0,3,5,8.5,27,52.4
S287,9,0,78.1,4,50.6,0,1,7,0,10.6,30,53.6
S288,9,1,82.0,2,66.2,0,0,3,0,13.8,22,67.0
S289,8,1,86.6,5,75.3,0,0,5,2,4.9,21,80.3
S290,9,1,91.2,3,58.3,0,0,4,1,10.8,25,58.3
S291,7,1,94.6,3,62.3,0,0,6,4,5.3,22,54.2
S292,7,0,85.9,2,81.8,0,0,8,4,13.3,25,51.3
S293,10,1,92.3,2,61.4,1,0,5,2,9.8,28,43.9
S294,8,0,85.7,3,94.4,0,1,7,1,10.5,24,66.2
S295,7,1,86.7,3,65.9,0,0,4,1,5.1,22,61.6
S296,9,1,81.2,5,33.3,0,0,5,4,12.5,27,51.4
S297,10,1,84.5,3,68.5,1,0,6,1,19.4,29,58.2
S298,7,1,81.5,3,63.3,0,0,8,8,4.0,21,46.7
S299,9,1,84.2,4,76.1,0,0,5,0,7.3,29,75.1
S300,7,0,98.4,4,67.4,0,0,5,1,10.2,29,75.4
S301,7,0,84.4,2,56.1,0,0,7,3,12.9,29,43.8
S302,9,1,100.0,2,40.9,0,0,5,1,6.2,30,47.7
S303,9,1,94.5,1,55.1,0,0,4,3,1.0,32,34.6
S304,9,0,92.3,4,46.1,1,0,4,2,15.8,25,61.6
S305,10,1,85.0,4,49.9,0,0,3,2,12.8,27,62.3
S306,11,1,95.9,3,66.2,0,0,6,1,1.0,25,56.6
S307,9,0,87.0,5,81.4,1,0,8,2,6.0,27,70.7
S308,8,1,91.9,4,63.5,0,0,7,0,16.8,31,73.2
S309,10,1,100.0,4,41.3,0,0,8,1,16.2,22,54.0
S310,8,0,90.3,5,64.2,0,1,10,0,13.7,24,77.6
S311,8,0,99.0,2,74.8,0,1,7,5,8.1,31,52.6
S312,7,0,86.1,2,49.5,0,0,8,4,9.4,30,52.7
S313,7,1,90.8,3,56.1,1,1,10,3,8.3,25,45.2
S314,11,0,100.0,1,58.2,0,0,4,1,14.6,29,50.8
S315,10,0,86.6,4,47.0,0,0,0,2,4.6,28,43.8
S316,10,0,100.0,5,67.1,0,0,6,1,5.0,31,69.8
S317,8,0,96.0,1,56.3,1,0,8,4,14.1,27,40.4
S318,7,0,87.1,2,63.9,1,0,8,1,8.8,30,60.7
S319,7,0,95.4,3,45.6,1,0,6,0,15.9,32,55.0
S320,8,1,97.8,5,51.9,0,0,5,3,5.6,28,64.9
S321,9,1,95.4,3,68.1,0,0,10,1,8.7,27,67.3
S322,10,0,80.0,3,52.8,0,0,6,3,4.4,29,43.2
S323,10,0,85.9,1,82.2,0,0,11,0,9.0,25,64.6
S324,8,0,89.3,2,52.4,0,0,6,2,1.6,32,50.9
S325,11,1,90.5,5,61.1,0,0,9,2,6.6,27,64.5
S326,10,1,95.3,5,71.1,0,1,5,1,1.8,26,72.3
S327,9,1,92.2,1,38.1,0,1,7,3,12.5,24,31.9
S328,9,1,81.7,5,33.3,0,0,3,3,12.6,30,51.2
S329,8,1,93.7,4,36.6,0,1,5,1,1.0,29,50.4
S330,8,1,95.3,5,75.7,0,0,3,1,15.7,25,78.3
S331,8,1,94.9,3,50.3,0,1,3,3,21.5,28,54.6
S332,10,1,98.6,3,93.8,0,0,4,1,9.2,22,75.7
S333,7,1,96.8,3,50.1,1,0,5,0,5.8,27,55.8
S334,7,0,94.2,4,60.6,0,0,9,1,23.1,28,66.0
S335,7,0,90.5,2,79.6,0,0,5,3,2.4,32,49.6
S336,7,0,79.4,1,86.1,0,0,9,4,9.1,24,61.3
S337,11,0,94.0,3,86.9,1,0,4,2,9.9,23,72.3
S338,10,1,92.5,4,74.9,0,0,11,0,15.7,24,77.6
S339,9,1,92.9,2,72.3,0,0,6,2,10.8,22,60.8
S340,7,0,82.1,4,66.3,0,0,4,1,6.5,31,67.1
S341,9,1,83.4,5,68.9,0,0,5,3,4.2,31,70.7
S342,9,0,98.4,2,50.3,0,0,4,2,7.3,27,40.1
S343,7,1,90.7,4,46.5,0,0,4,2,4.0,30,51.4
S344,8,0,95.8,3,58.0,1,0,11,2,9.2,27,58.7
S345,8,1,91.2,5,55.6,0,0,7,0,6.2,26,74.9
S346,9,1,91.2,2,51.7,1,0,9,3,1.5,26,56.4
S347,9,0,97.6,4,67.7,1,1,7,2,15.3,26,63.9
S348,7,1,87.4,5,71.4,0,0,4,0,6.5,22,69.0
S349,8,0,91.7,5,59.2,1,0,4,2,2.7,27,63.7
S350,9,0,87.8,4,78.7,0,1,8,2,8.2,26,75.2
S351,9,0,88.0,3,42.0,0,0,3,2,9.3,29,49.8
S352,11,0,88.8,4,55.3,0,0,11,2,1.0,27,56.6
S353,9,1,92.6,5,48.0,0,0,5,3,10.7,26,68.1
S354,7,1,87.6,4,31.9,0,0,6,1,3.8,24,54.9
S355,7,1,99.8,1,56.8,0,0,7,2,17.6,27,51.5
S356,9,0,84.7,5,56.3,0,0,5,2,11.6,29,69.3
S357,7,1,89.7,4,79.2,0,0,9,3,7.0,23,78.4
S358,9,0,87.9,4,66.8,0,1,4,2,5.3,27,65.0
S359,11,1,100.0,2,43.7,0,0,2,4,8.5,27,42.2
S360,9,1,92.4,4,84.0,0,0,5,2,12.1,24,75.2
S361,8,1,98.2,3,75.1,0,0,12,1,8.9,25,81.1
S362,9,0,80.6,4,66.1,1,0,6,1,7.9,27,56.4
S363,9,1,92.9,2,54.8,0,0,4,0,9.3,23,57.7
S364,9,1,97.2,4,44.6,1,0,5,2,6.0,28,46.6
S365,11,0,91.6,5,52.8,0,0,6,4,7.3,24,67.0
S366,8,1,98.5,1,73.2,0,0,6,1,1.0,30,54.8
S367,11,0,87.4,5,84.4,0,0,8,0,13.9,32,93.1
S368,11,1,100.0,3,79.6,0,0,8,2,10.5,24,74.9
S369,7,0,100.0,5,51.2,0,0,7,0,5.1,28,65.4
S370,7,0,88.5,4,42.3,1,0,8,0,18.5,24,70.1
S371,7,1,87.9,4,60.0,0,0,1,3,9.4,30,67.7
S372,7,0,100.0,4,33.2,1,0,10,2,3.8,23,56.7
S373,7,0,100.0,5,62.5,1,0,5,3,13.3,28,66.1
S374,10,0,87.3,3,55.9,1,1,10,1,11.0,24,52.0
S375,7,0,88.1,3,51.5,1,1,2,1,11.0,26,48.0
S376,8,0,89.0,4,35.7,0,0,5,2,6.9,23,48.7
S377,11,0,81.6,4,65.2,0,1,9,4,11.3,29,67.3
S378,7,1,84.6,4,50.5,0,0,3,3,7.7,24,56.2
S379,10,0,84.0,4,41.6,0,1,5,1,11.8,28,38.6
S380,8,0,85.6,3,17.8,0,0,3,4,1.0,25,32.1
S381,7,1,90.8,4,57.6,0,1,5,1,6.8,26,58.0
S382,10,1,92.6,2,82.8,0,1,5,3,17.6,27,61.8
S383,9,1,100.0,4,81.3,0,0,6,1,5.2,24,74.9
S384,11,1,84.0,1,51.6,0,1,8,1,6.0,27,44.4
S385,10,1,97.9,3,49.6,0,0,3,2,6.8,31,59.1
S386,10,1,89.5,3,64.6,0,0,9,3,2.9,24,60.0
S387,8,1,90.7,3,44.0,1,0,8,1,1.0,30,46.7
S388,7,0,95.7,4,62.2,0,0,6,3,7.8,31,65.4
S389,10,0,83.1,3,68.7,0,0,5,2,9.7,24,61.3
S390,10,1,93.7,3,75.2,0,0,7,2,8.7,22,63.7
S391,11,0,92.2,3,56.6,0,1,8,2,8.3,27,56.9
S392,8,0,94.4,3,55.1,0,0,5,0,9.2,25,64.4
S393,8,0,93.0,3,45.7,0,0,4,5,14.1,32,58.0
S394,10,1,100.0,2,46.4,0,1,8,2,8.0,27,53.0
S395,8,1,86.5,4,54.8,0,1,2,2,6.1,24,49.3
